ANZSCO,Occupation,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating,Skill Level
231112,Air Traffic Controller,Regional Shortage,No Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,No Shortage,Shortage,1
231113,Flying Instructor,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
231114,Helicopter Pilot,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
231199,Air Transport Professionals nec,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
231211,Master Fisher,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
231212,Ship's Engineer,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
231213,Ship's Master,Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,2
231214,Ship's Officer,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,2
231215,Marine Surveyor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,2
231299,Marine Transport Professionals nec,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,2
232111,Architect,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
232112,Landscape Architect,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
232212,Surveyor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
232213,Cartographer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1
232214,Other Spatial Scientist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1
232311,Fashion Designer,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
232312,Industrial Designer,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
232313,Jewellery Designer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
232411,Graphic Designer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
232412,Illustrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
232413,Multimedia Designer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
232414,Web Designer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
232511,Interior Designer,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
232611,Urban and Regional Planner,Shortage,No Shortage,Shortage,Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,Shortage,1
233111,Chemical Engineer,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233112,Materials Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
233211,Civil Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233212,Geotechnical Engineer,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
